Date,Price,ABC,Sensex,DividendAnnounced,Sentiment,Nifty
09-03-2001,816.2,0.005172414,0.016087693,0,-0.009427943,0.014443851
12-03-2001,839.25,0.028240627,0.025275927,0,0.014143932,0.021504931
13-03-2001,811.95,-0.032529044,-0.009674754,0,-0.126650925,-0.001751034
14-03-2001,814.4,0.003017427,-0.03923168,0,0.068994856,-0.034159704
15-03-2001,814.85,0.000552554,-0.010576021,0,0.000963838,-0.011670107
16-03-2001,815.55,0.000859054,0.010865725,0,0.072876206,0.015372003
19-03-2001,840.65,0.030776776,-0.010918139,0,0.012107158,-0.020631696
20-03-2001,841.1,0.0005353,0.002902697,0,-0.102579132,-0.000650284
21-03-2001,844.5,0.004042326,-0.008926174,0,0.084871788,-0.009733668
22-03-2001,852.15,0.009058615,-0.024178348,0,-0.030453104,-0.016175987
23-03-2001,836.25,-0.018658687,-0.038436961,0,-0.026939556,-0.034818317
26-03-2001,814,-0.026606876,-0.042607639,0,-0.045455122,-0.028064615
27-03-2001,823.15,0.011240786,0.021311213,0,0.055343113,0.037410793
28-03-2001,819.2,-0.004798639,0.018658392,0,0.02920947,0.030323343
29-03-2001,832.35,0.016052246,0.038179024,0,0.061996825,0.05097468
30-03-2001,843.65,0.01357602,0.039354417,0,0.030535608,0.023212789
02-04-2001,866.8,0.027440289,0.002506939,0,-0.01603635,0.013662353
03-04-2001,878.65,0.013670974,0.001107998,0,0.100774859,0.004295204
04-04-2001,872.05,-0.007511523,0.000830775,0,-0.024395507,0.003230371
05-04-2001,869.7,-0.0026948,0.003019507,0,-0.042426186,0.004407356
06-04-2001,849.05,-0.02374382,-0.012119428,0,-0.016171343,-0.0167542
09-04-2001,837.7,-0.013367882,-0.037791065,0,-0.02607769,-0.037393252
10-04-2001,837.15,-0.00065656,0.028164405,0,-0.024995392,0.029261543
11-04-2001,836.85,-0.000358359,0.005472897,0,0.036637945,0.005713078
12-04-2001,836.35,-0.000597479,-0.012417972,0,0.052490864,0.001395356
13-04-2001,829.5,-0.008190351,0.00575479,0,0.040443814,-0.00393741
16-04-2001,835.65,0.007414105,0.008598442,1,0.068231886,-0.001144189
17-04-2001,826.9,-0.010470891,0.010031567,0,-0.12840752,-0.004830467
18-04-2001,834.05,0.008646753,0.001734458,0,0.097983478,0.00838295
19-04-2001,831.55,-0.002997422,-0.005105142,0,-0.047362866,-0.023436587
20-04-2001,808.7,-0.027478805,-0.002382107,0,-0.11722867,0.005064511
23-04-2001,780,-0.035489057,0.0025732,0,-0.038170678,0.01303555
24-04-2001,772.05,-0.010192308,0.002249974,0,-0.095380438,0.004335909
25-04-2001,769.6,-0.00317337,0.004221462,0,0.063774535,-0.013544065
26-04-2001,768.85,-0.000974532,0.021631042,0,0.002338917,0.016869081
27-04-2001,784.5,0.020355076,-0.004013886,0,-0.035813564,-0.000617302
30-04-2001,779.95,-0.005799873,-0.004084782,0,-0.091527107,-0.012585434
01-05-2001,772.4,-0.009680108,0.000137359,0,-0.008931003,0.003208843
02-05-2001,775.05,0.003430865,0.009322639,0,-0.009814574,0.018558927
03-05-2001,769.75,-0.006838268,0.002356758,0,-0.039692316,-0.015569252
04-05-2001,769.25,-0.000649562,-0.006350456,0,-0.000486671,-0.023526916
07-05-2001,774.55,0.006889828,0.016487195,0,-0.026959744,0.007220635
08-05-2001,778,0.004454199,0.005892236,0,0.007670612,-0.004854501
09-05-2001,779.95,0.002506427,-0.021386559,0,-0.021141688,-0.021326862
10-05-2001,795.05,0.019360215,-0.008227655,0,0.015019812,-0.014768655
11-05-2001,769.6,-0.032010565,-0.020449295,0,-0.139384494,-0.017688966
14-05-2001,761.15,-0.01097973,-0.01665711,0,-0.008683615,-0.019426294
15-05-2001,742.2,-0.024896538,-0.010959358,0,-0.063830473,-0.004073457
16-05-2001,749.55,0.009902991,-0.000789008,0,0.0792463,-0.040000107
17-05-2001,739.85,-0.012941098,-2.02E-05,0,-0.035787996,0.005394219
